chainId,tx_hash,block,timestamp,unix_time,pool_id,allocpoint
10,0x5fd081df89fcbb344c43e3dee86fd05c1a9b21e6454b29d46ea383887356505b,19055816,2022-07-31T17:45:04Z,1659289504,2,7.79
10,0x5fd081df89fcbb344c43e3dee86fd05c1a9b21e6454b29d46ea383887356505b,19055816,2022-07-31T17:45:04Z,1659289504,13,3.27
10,0xbcfd889b3c9e80202fb4fa905b05aaea0bc90a467d2c7831515c6487a8f19582,22380170,2022-09-01T18:32:34Z,1662057154,1,72.68
10,0xbcfd889b3c9e80202fb4fa905b05aaea0bc90a467d2c7831515c6487a8f19582,22380170,2022-09-01T18:32:34Z,1662057154,2,22.81
10,0xbcfd889b3c9e80202fb4fa905b05aaea0bc90a467d2c7831515c6487a8f19582,22380170,2022-09-01T18:32:34Z,1662057154,13,4.51
11,0xd27549f702df7fae5e42bac92868292890d0fa8b4940020a68b5aed0e96aabf9,13481620,2022-06-29T19:06:32Z,1656529592,1,91.6
11,0xd27549f702df7fae5e42bac92868292890d0fa8b4940020a68b5aed0e96aabf9,13481620,2022-06-29T19:06:32Z,1656529592,13,8.4
11,0xfc73a9020eb8acde8d6492f7c65cf2f09f43fdc92af139dbe0b7e212fe47e27f,13653267,2022-07-01T20:54:02Z,1656708842,1,92.86
11,0xfc73a9020eb8acde8d6492f7c65cf2f09f43fdc92af139dbe0b7e212fe47e27f,13653267,2022-07-01T20:54:02Z,1656708842,13,7.14
11,0xfc13e7534da7c0668968a767fe0f99a045468299774e554b7fab75f4e35d99c6,17114855,2022-08-01T16:32:49Z,1659371569,1,0
11,0xfc13e7534da7c0668968a767fe0f99a045468299774e554b7fab75f4e35d99c6,17114855,2022-08-01T16:32:49Z,1659371569,13,0
11,0x39c0fa661e0ced9e29e3ff43fddb79cd9f5b2d1d589bbf56db303620609bf1b9,21579186,2022-09-01T18:30:43Z,1662057043,1,90.58
11,0x39c0fa661e0ced9e29e3ff43fddb79cd9f5b2d1d589bbf56db303620609bf1b9,21579186,2022-09-01T18:30:43Z,1662057043,13,9.42
